target_name,left_range,right_range,distance
target_1,"(4628, 525)","(4697, 571)",6.5
target_2,"(4100, 511)","(4128, 528)",5.8
target_3,"(4648, 603)","(4693, 627)",5.5
target_4,"(4180, 574)","(4241, 588)",4.5
target_5,"(3692, 585)","(3732, 603)",3.8
target_6,"(2945, 613)","(2990, 645)",4
target_7,"(4878, 610)","(4951, 631)",1.7
target_8,"(3062, 652)","(3087, 677)",2.5
target_9,"(2437, 701)","(2489, 722)",0.8
target_10,"(2231, 687)","(2275, 715)",1.5
target_11,"(5100, 613)","(5129, 645)",1.8
target_12,"(5274, 617)","(5318, 670)",1.9
target_13,"(5617, 779)","(5669, 825)",0.35
